dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
gsm8k,93,0.31316998468606405,0.02,0.041985706993363965,1306,30,0.29316998468606403,random
gsm8k,94,0.009188361408882,0.02,0.9499234303215925,1306,30,0.010811638591118,random
gsm8k,95,-0.37978560490045904,0.02,0.034915773353751914,1306,30,0.359785604900459,random
gsm8k,96,0.073506891271056,0.02,0.43795303726391016,1306,30,0.053506891271056,random
gsm8k,97,-0.0076569678407350005,0.02,0.9687850944359367,1306,30,0.012343032159265,random
gsm8k,98,-0.175344563552833,0.02,0.11220010209290456,1306,30,0.15534456355283302,random
gsm8k,99,0.057427258805513005,0.02,0.6198315467075038,1306,30,0.03742725880551301,random
hellaswag,0,-0.059534232183505,0.02,0.09875094846203233,5711,30,0.039534232183505005,random
hellaswag,1,0.180353703379443,0.02,0.019191034845035895,5711,30,0.16035370337944302,random
hellaswag,2,-0.030467518823323003,0.02,0.6806513745403607,5711,30,0.010467518823323002,random
hellaswag,3,-0.013657853265627,0.02,0.7868791221619098,5711,30,0.006342146734373,random
hellaswag,4,0.193136053230607,0.02,0.018181287573688205,5711,30,0.17313605323060702,random
hellaswag,5,-0.005953423218350001,0.02,0.4276659078970408,5711,30,0.01404657678165,random
