case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N5000_q0.3_o-0.02,5000,0.30000000000000004,0.02,0.0,0.02,0.30000000000000004,direct_betting,300,0.7259233333333333,1,0.018431252048067885
N5000_q0.3_o-0.02,5000,0.30000000000000004,0.02,0.0,0.02,0.30000000000000004,eb_grid,300,0.7701846666666666,0,0.012220974694293552
N5000_q0.3_o-0.02,5000,0.30000000000000004,0.02,0.0,0.02,0.30000000000000004,planned_gaussian,300,0.7784793333333333,5,0.038463744964996424
N5000_q0.3_o0,5000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,direct_betting,300,0.9866233333333334,4,0.03378489626191785
N5000_q0.3_o0,5000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,eb_grid,300,1.0,0,0.012220974694293552
N5000_q0.3_o0,5000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,planned_gaussian,300,0.9743606666666667,9,0.056183548241615776
N5000_q0.3_o0.002,5000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299515999999999,direct_betting,300,0.9800986666666667,3,0.028944511255692605
N5000_q0.3_o0.002,5000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299515999999999,eb_grid,300,0.9981393333333334,0,0.012220974694293552
N5000_q0.3_o0.002,5000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299515999999999,planned_gaussian,300,0.9775013333333333,3,0.028944511255692605
N5000_q0.3_o0.004,5000,0.30000000000000004,0.004,0.024,0.02,0.299423999999999,direct_betting,300,0.9584506666666666,4,0.03378489626191785
N5000_q0.3_o0.004,5000,0.30000000000000004,0.004,0.024,0.02,0.299423999999999,eb_grid,300,0.9849253333333333,0,0.012220974694293552
N5000_q0.3_o0.004,5000,0.30000000000000004,0.004,0.024,0.02,0.299423999999999,planned_gaussian,300,0.9479126666666667,1,0.018431252048067885
N5000_q0.3_o0.01,5000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29910000000000003,direct_betting,300,0.8420013333333334,0,0.012220974694293552
N5000_q0.3_o0.01,5000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29910000000000003,eb_grid,300,0.8981446666666667,0,0.012220974694293552
N5000_q0.3_o0.01,5000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29910000000000003,planned_gaussian,300,0.8720093333333333,0,0.012220974694293552
N5000_q0.3_o0.02,5000,0.30000000000000004,0.02,0.04,0.02,0.298399999999999,direct_betting,300,0.5868939999999999,1,0.018431252048067885
N5000_q0.3_o0.02,5000,0.30000000000000004,0.02,0.04,0.02,0.298399999999999,eb_grid,300,0.6579373333333334,0,0.012220974694293552
N5000_q0.3_o0.02,5000,0.30000000000000004,0.02,0.04,0.02,0.298399999999999,planned_gaussian,300,0.6289193333333333,1,0.018431252048067885
N5000_q0.3_o0.04,5000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,direct_betting,300,0.24887199999999998,0,0.012220974694293552
N5000_q0.3_o0.04,5000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,eb_grid,300,0.337266,0,0.012220974694293552
N5000_q0.3_o0.04,5000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,planned_gaussian,300,0.272704,0,0.012220974694293552
N5000_q0.8_o-0.002,5000,0.8,0.002,0.018000000000000002,0.02,0.7996759999999999,direct_betting,300,0.9847133333333333,2,0.02387349757217365
N5000_q0.8_o-0.002,5000,0.8,0.002,0.018000000000000002,0.02,0.7996759999999999,eb_grid,300,0.9980993333333333,0,0.012220974694293552
N5000_q0.8_o-0.002,5000,0.8,0.002,0.018000000000000002,0.02,0.7996759999999999,planned_gaussian,300,0.9901813333333332,3,0.028944511255692605
N5000_q0.8_o-0.004,5000,0.8,0.004,0.016,0.02,0.799744,direct_betting,300,0.9880153333333334,1,0.018431252048067885
N5000_q0.8_o-0.004,5000,0.8,0.004,0.016,0.02,0.799744,eb_grid,300,0.9953986666666667,0,0.012220974694293552
N5000_q0.8_o-0.004,5000,0.8,0.004,0.016,0.02,0.799744,planned_gaussian,300,0.9854453333333333,5,0.038463744964996424
N5000_q0.8_o-0.01,5000,0.8,0.01,0.01,0.02,0.7999,direct_betting,300,0.9488173333333333,6,0.0430210826735169
N5000_q0.8_o-0.01,5000,0.8,0.01,0.01,0.02,0.7999,eb_grid,300,0.9736153333333334,1,0.018431252048067885
N5000_q0.8_o-0.01,5000,0.8,0.01,0.01,0.02,0.7999,planned_gaussian,300,0.9690746666666666,10,0.0604453222012656
N5000_q0.8_o-0.02,5000,0.8,0.02,0.0,0.02,0.8,direct_betting,300,0.8945979999999999,4,0.03378489626191785
N5000_q0.8_o-0.02,5000,0.8,0.02,0.0,0.02,0.8,eb_grid,300,0.91934,0,0.012220974694293552
N5000_q0.8_o-0.02,5000,0.8,0.02,0.0,0.02,0.8,planned_gaussian,300,0.9707893333333334,8,0.05186581196093096
N5000_q0.8_o0,5000,0.8,0.0,0.02,0.02,0.7995999999999991,direct_betting,300,0.9853033333333333,4,0.03378489626191785
N5000_q0.8_o0,5000,0.8,0.0,0.02,0.02,0.7995999999999991,eb_grid,300,0.9990260000000001,0,0.012220974694293552
N5000_q0.8_o0,5000,0.8,0.0,0.02,0.02,0.7995999999999991,planned_gaussian,300,0.9786773333333334,9,0.056183548241615776
N5000_q0.8_o0.002,5000,0.8,0.001999999999999,0.022,0.02,0.799516,direct_betting,300,0.9656786666666667,3,0.028944511255692605
N5000_q0.8_o0.002,5000,0.8,0.001999999999999,0.022,0.02,0.799516,eb_grid,300,0.9905046666666667,1,0.018431252048067885
N5000_q0.8_o0.002,5000,0.8,0.001999999999999,0.022,0.02,0.799516,planned_gaussian,300,0.9654133333333335,4,0.03378489626191785
N5000_q0.8_o0.004,5000,0.8,0.004,0.024,0.02,0.7994239999999999,direct_betting,300,0.989378,0,0.012220974694293552
N5000_q0.8_o0.004,5000,0.8,0.004,0.024,0.02,0.7994239999999999,eb_grid,300,0.993856,0,0.012220974694293552
N5000_q0.8_o0.004,5000,0.8,0.004,0.024,0.02,0.7994239999999999,planned_gaussian,300,0.9771413333333334,0,0.012220974694293552
N5000_q0.8_o0.01,5000,0.8,0.009999999999999001,0.03,0.02,0.7991,direct_betting,300,0.9244973333333333,3,0.028944511255692605
N5000_q0.8_o0.01,5000,0.8,0.009999999999999001,0.03,0.02,0.7991,eb_grid,300,0.95312,0,0.012220974694293552
N5000_q0.8_o0.01,5000,0.8,0.009999999999999001,0.03,0.02,0.7991,planned_gaussian,300,0.9361686666666666,3,0.028944511255692605
N5000_q0.8_o0.02,5000,0.8,0.02,0.04,0.02,0.7983999999999991,direct_betting,300,0.78718,0,0.012220974694293552
N5000_q0.8_o0.02,5000,0.8,0.02,0.04,0.02,0.7983999999999991,eb_grid,300,0.8339993333333333,0,0.012220974694293552
N5000_q0.8_o0.02,5000,0.8,0.02,0.04,0.02,0.7983999999999991,planned_gaussian,300,0.812236,1,0.018431252048067885
