dataset,method,epsilon,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
truthfulqa,completion,0.01,3000,0.8805175983436854,0.9021739130434783,0,0.0,0.001
truthfulqa,completion,0.02,3000,0.8875952380952381,0.9114906832298136,0,0.0,0.011666666666666667
truthfulqa,completion,0.05,3000,0.9037691511387164,0.9394409937888198,0,0.0,0.037333333333333336
truthfulqa,eb_grid,0.01,3000,0.4592857142857143,0.34627329192546585,0,0.0,0.001
truthfulqa,eb_grid,0.02,3000,0.4905388198757764,0.38664596273291924,0,0.0,0.011666666666666667
truthfulqa,eb_grid,0.05,3000,0.5502903726708075,0.5559006211180124,0,0.0,0.037333333333333336
truthfulqa,eb_predictable,0.01,3000,0.40811076604554863,0.2546583850931677,1,0.0003333333333333333,0.001
truthfulqa,eb_predictable,0.02,3000,0.44293944099378885,0.2857142857142857,0,0.0,0.011666666666666667
truthfulqa,eb_predictable,0.05,3000,0.50251966873706,0.44565217391304346,0,0.0,0.037
truthfulqa,fixed_plugin_0.1,0.02,3000,0.10093167701863354,0.10093167701863354,480,0.16,0.0
truthfulqa,fixed_plugin_0.25,0.02,3000,0.25,0.25,295,0.09833333333333333,0.0
truthfulqa,fixed_plugin_0.5,0.02,3000,0.5,0.5,169,0.05633333333333333,0.0
truthfulqa,hoeffding_grid,0.01,3000,0.5878700828157349,0.609472049689441,0,0.0,0.001
truthfulqa,hoeffding_grid,0.02,3000,0.6101889233954452,0.6677018633540373,0,0.0,0.011666666666666667
truthfulqa,hoeffding_grid,0.05,3000,0.6668069358178054,0.8385093167701864,0,0.0,0.037333333333333336
truthfulqa,normal_peeking,0.01,3000,0.1838524844720497,0.049689440993788817,141,0.047,0.0013333333333333333
truthfulqa,normal_peeking,0.02,3000,0.208277950310559,0.05745341614906832,158,0.05266666666666667,0.0026666666666666666
truthfulqa,normal_peeking,0.05,3000,0.2196733954451346,0.08540372670807453,166,0.05533333333333333,0.005333333333333333
truthfulqa,separate_arm,0.02,3000,0.6206749482401657,0.6692546583850931,0,0.0,0.011666666666666667
